z,k_s_per_km,p1d_kms,e_stat_kms,e_syst_kms,e_total_kms,pfid_kms
2.2000,0.00025000,24.02173025,2.13525580,3.52406485,4.12047939,14.07418500
2.2000,0.00075000,21.25947503,0.30246299,0.99495119,1.03990948,18.93006100
2.2000,0.00125000,21.48195448,0.22697545,0.45417120,0.50772959,20.00477100
2.2000,0.00175000,19.14999011,0.21105058,0.28598936,0.35543250,19.65932100
2.2000,0.00225000,21.71332882,0.20515588,0.22530450,0.30471471,18.98159300
2.2000,0.00275000,20.47246388,0.19475997,0.19325041,0.27436684,18.19523000
2.2000,0.00325000,19.55005833,0.18330732,0.17641007,0.25440535,17.39842300
2.2000,0.00375000,15.55594185,0.17477399,0.16268193,0.23877051,16.62768200
2.2000,0.00425000,14.28379741,0.16771448,0.15444856,0.22799672,15.89615300
2.2000,0.00475000,15.22248634,0.16251055,0.15145221,0.22214286,15.20726600
2.2000,0.00525000,15.77179051,0.15786840,0.14472310,0.21416631,14.56132380
2.2000,0.00575000,16.01830740,0.15351185,0.14214965,0.20921857,13.95587140
2.2000,0.00625000,13.47103192,0.14939917,0.14072589,0.20524105,13.38784330
2.2000,0.00675000,12.16522331,0.14576712,0.14362108,0.20463398,12.85457950
2.2000,0.00725000,12.05862368,0.14271530,0.14054345,0.20030007,12.35323750
2.2000,0.00775000,13.09906373,0.14007609,0.14153978,0.19913518,11.88089410
2.2000,0.00825000,13.65359581,0.13755055,0.64430644,0.65882542,11.43518250
2.2000,0.00875000,11.94486154,0.13515998,0.14862241,0.20089012,11.01398040
2.2000,0.00925000,11.20530566,0.13289699,0.14780511,0.19876609,10.61517810
2.2000,0.00975000,10.26001463,0.13093430,0.15112170,0.19995390,10.23702250
2.2000,0.01025000,9.87944591,0.12927066,0.15403728,0.20109298,9.87797810
2.2000,0.01075000,10.40532369,0.12793067,0.15820996,0.20346166,9.53654990
2.2000,0.01125000,10.15394169,0.12671868,0.16137680,0.20518307,9.21146080
2.2000,0.01175000,8.99333666,0.12541221,0.16534641,0.20752748,8.90161110
2.2000,0.01225000,8.57418912,0.12407518,0.16947917,0.21004247,8.60593940
2.2000,0.01275000,8.06023090,0.12275926,0.17373746,0.21273115,8.32351910
2.2000,0.01325000,8.45856895,0.12147795,0.17809269,0.21557806,8.05352660
2.2000,0.01375000,8.22506621,0.12017363,0.18268535,0.21866788,7.79518150
2.2000,0.01425000,8.15032582,0.11879742,0.18702632,0.22156640,7.54777150
